Date,Open,High,Low,Close,Adj Close,Volume
2001-08-01,1.475000,1.699000,1.462000,1.550000,1.329593,17685000
2001-09-01,1.540000,1.729000,1.240000,1.380000,1.183767,14494000
2001-10-01,1.400000,1.702000,1.363000,1.522000,1.305574,10280000
2001-11-01,1.500000,1.500000,1.375000,1.419000,1.217221,18187000
2001-12-01,1.419000,1.556000,1.419000,1.455000,1.248102,7695000
2002-01-01,1.440000,1.605000,1.346000,1.500000,1.286703,8342000
2002-02-01,1.510000,1.699000,1.497000,1.610000,1.381061,8585000
2002-03-01,1.630000,1.665000,1.525000,1.535000,1.316726,5555000
2002-04-01,1.530000,1.590000,1.425000,1.510000,1.295281,6786000
2002-05-01,1.500000,1.532000,1.416000,1.490000,1.278125,8544000
2002-06-01,1.492000,1.500000,1.270000,1.290000,1.117952,5644000
2002-07-01,1.301000,1.410000,1.271000,1.397000,1.210682,11491000
2002-08-01,1.400000,1.452000,1.360000,1.449000,1.255747,4642000
2002-09-01,1.450000,1.520000,1.419000,1.419000,1.229748,9704000
2002-10-01,1.411000,1.425000,1.270000,1.325000,1.148284,6213000
2002-11-01,1.326000,1.351000,1.216000,1.225000,1.061622,10839000
2002-12-01,1.234000,1.398000,1.185000,1.346000,1.166484,9377000
2003-01-01,1.346000,1.524000,1.326000,1.495000,1.295611,7857000
2003-02-01,1.522000,1.625000,1.522000,1.570000,1.360609,16566000
2003-03-01,1.560000,1.587000,1.486000,1.547000,1.340676,10472000
2003-04-01,1.543000,1.750000,1.543000,1.638000,1.419540,9077000
2003-05-01,1.640000,1.717000,1.601000,1.700000,1.490433,9267000
2003-06-01,1.700000,1.925000,1.698000,1.875000,1.643860,8124000
2003-07-01,1.875000,2.340000,1.875000,2.222000,1.948084,18909000
2003-08-01,2.220000,2.384000,2.145000,2.198000,1.927042,9281000
2003-09-01,2.196000,2.250000,2.025000,2.150000,1.884960,12490000
2003-10-01,2.240000,2.603000,2.185000,2.589000,2.269842,14455000
2003-11-01,2.614000,2.638000,2.250000,2.615000,2.292636,19229000
2003-12-01,2.616000,3.443000,2.616000,3.054000,2.677519,17235000
2004-01-01,3.079000,3.490000,2.825000,2.900000,2.542504,21327000
2004-02-01,2.910000,3.188000,2.750000,3.041000,2.666121,18920000
2004-03-01,3.041000,3.197000,2.700000,3.008000,2.637190,14302000
2004-04-01,3.075000,3.198000,2.900000,2.900000,2.542504,10606000
2004-05-01,2.900000,3.310000,1.960000,2.832000,2.482886,32239000
2004-06-01,2.807000,2.975000,2.456000,2.686000,2.373703,21209000
2004-07-01,2.676000,2.763000,2.565000,2.708000,2.393145,9363000
2004-08-01,2.688000,2.823000,2.621000,2.811000,2.484170,8165000
2004-09-01,2.821000,3.395000,2.821000,3.395000,3.000269,6770000
2004-10-01,3.305000,3.548000,3.050000,3.517000,3.108084,13631000
2004-11-01,3.523000,4.239000,3.385000,4.100000,3.623300,20005000
2004-12-01,4.075000,4.588000,3.600000,4.536000,4.008607,22892000
2005-01-01,4.561000,4.587000,3.897000,4.450000,3.932605,54169000
2005-02-01,4.440000,4.706000,4.306000,4.705000,4.157958,22177000
2005-03-01,4.730000,5.000000,3.879000,4.203000,3.714324,42503000
2005-04-01,4.260000,4.517000,3.995000,4.341000,3.836279,24937000
2005-05-01,4.410000,4.430000,4.067000,4.189000,3.701952,28437000
2005-06-01,4.204000,4.848000,4.130000,4.651000,4.137033,28393000
2005-07-01,4.676000,5.270000,4.525000,5.080000,4.518627,35567000
2005-08-01,5.055000,5.225000,4.565000,4.789000,4.259785,23595000
2005-09-01,4.789000,5.297000,4.699000,5.120000,4.554206,32021000
2005-10-01,5.298000,5.475000,4.196000,4.419000,3.930671,56912000
2005-11-01,4.419000,5.078000,4.419000,4.959000,4.410998,42296000
2005-12-01,4.980000,5.429000,4.952000,5.090000,4.527521,30177000
2006-01-01,5.129000,5.970000,5.121000,5.944000,5.287148,33610000
2006-02-01,5.888000,5.941000,5.150000,5.319000,4.731215,47627000
2006-03-01,5.400000,5.575000,5.235000,5.450000,4.847739,38642000
2006-04-01,5.590000,6.247000,5.488000,5.882000,5.232000,42168000
2006-05-01,5.900000,6.360000,5.164000,5.294000,4.708978,54438000
2006-06-01,5.269000,5.577000,4.304000,5.455000,4.880613,81045000
2006-07-01,5.397000,5.498000,4.726000,5.415000,4.844825,41305000
2006-08-01,5.410000,5.800000,5.236000,5.688000,5.089079,28302000
2006-09-01,5.770000,6.182000,5.430000,6.105000,5.462171,34084000
2006-10-01,6.125000,7.007000,5.914000,6.926000,6.196723,30207000
2006-11-01,6.901000,7.770000,6.757000,7.601000,6.800649,38303000
2006-12-01,7.650000,7.699000,7.010000,7.548000,6.753229,46357000
2007-01-01,7.700000,8.000000,7.001000,7.632000,6.828383,41163000
2007-02-01,7.702000,7.944000,6.316000,6.636000,5.937258,67889000
2007-03-01,6.612000,7.175000,6.099000,6.445000,5.766370,70176000
2007-04-01,6.350000,7.589000,6.347000,7.263000,6.498238,47550000
2007-05-01,7.360000,8.657000,7.188000,8.495000,7.600515,58203000
2007-06-01,8.575000,8.840000,7.946000,8.426000,7.591881,53562000
2007-07-01,8.455000,9.380000,8.371000,8.661000,7.803617,105289000
2007-08-01,8.550000,8.885000,7.092000,8.865000,7.987424,105065000
2007-09-01,8.845000,10.779000,8.575000,10.713000,9.652483,54565000
2007-10-01,10.600000,13.900000,10.333000,13.900000,12.523990,133328000
2007-11-01,13.494000,13.937000,10.900000,13.449000,12.117639,105317000
2007-12-01,13.500000,14.544000,12.016000,13.045000,11.753630,84054000
2008-01-01,13.300000,14.067000,10.000000,11.931000,10.749908,130173000
2008-02-01,11.402000,12.197000,10.522000,10.911000,9.830884,115866000
2008-03-01,10.673000,10.800000,8.526000,9.824000,8.851489,159423000
2008-04-01,9.770000,11.548000,9.350000,11.280000,10.163355,113396000
2008-05-01,11.280000,11.945000,9.600000,9.975000,9.039771,83774000
2008-06-01,9.750000,9.750000,6.934000,7.166000,6.494135,154352000
2008-07-01,6.994000,9.198000,6.119000,7.818000,7.085005,256070000
2008-08-01,8.006000,9.549000,7.720000,9.049000,8.200590,143799000
2008-09-01,9.279000,9.697000,7.200000,8.495000,7.698532,147815000
2008-10-01,9.600000,9.600000,5.219000,6.560000,5.944952,186972000
2008-11-01,6.550000,7.466000,4.485000,5.720000,5.183708,159095000
2008-12-01,5.590000,7.500000,5.050000,7.138000,6.468760,133234000
2009-01-01,7.354000,7.748000,5.314000,5.766000,5.225395,121026000
2009-02-01,5.651000,6.375000,5.100000,5.100000,4.621837,104492000
2009-03-01,4.975000,6.399000,4.550000,6.093000,5.521736,146251000
2009-04-01,6.100000,7.867000,5.942000,7.402000,6.708008,113115000
2009-05-01,7.529000,10.174000,7.359000,9.950000,9.017113,133859000
2009-06-01,10.144000,11.023000,9.320000,10.313000,9.346082,104009000
2009-07-01,10.400000,10.452000,8.903000,9.777000,8.911460,86602000
2009-08-01,10.000000,10.161000,9.230000,9.851000,8.978909,68821000
2009-09-01,9.751000,11.965000,9.450000,11.837000,10.789091,68965000
2009-10-01,11.901000,12.679000,10.875000,11.061000,10.081789,84873000
2009-11-01,11.070000,13.893000,11.034000,13.455000,12.263853,69951000
2009-12-01,13.719000,14.033000,12.106000,13.008000,11.856426,54305000
2010-01-01,13.275000,13.891000,11.515000,11.830000,10.782711,56227000
2010-02-01,12.050000,12.388000,10.985000,12.169000,11.091701,59498000
2010-03-01,12.230000,14.094000,12.196000,13.939000,12.705008,65246000
2010-04-01,14.094000,15.637000,14.000000,14.912000,13.591866,54130000
2010-05-01,15.148000,15.217000,12.670000,13.900000,12.669458,68414000
2010-06-01,13.320000,15.600000,13.320000,14.297000,13.031312,58518000
2010-07-01,14.076000,16.493999,14.003000,16.458000,15.088664,60380000
2010-08-01,16.462000,17.211000,15.598000,15.980000,14.650435,55296000
2010-09-01,16.353001,18.594000,16.259001,18.437000,16.903009,53776000
2010-10-01,18.677000,19.143000,16.771000,17.296000,15.856938,51845000
2010-11-01,17.586000,18.895000,17.150000,17.635000,16.167738,38995000
2010-12-01,18.188999,18.948000,15.225000,16.711000,15.320615,63779000
2011-01-01,16.975000,17.243000,13.893000,14.441000,13.239482,94259000
2011-02-01,14.436000,15.380000,13.986000,14.711000,13.487018,50274000
2011-03-01,15.040000,17.059000,14.826000,16.993999,15.580069,52278000
2011-04-01,17.004999,17.799999,16.650000,17.209999,15.778098,38334000
2011-05-01,17.100000,17.216000,15.303000,16.283001,14.928226,45152000
2011-06-01,16.281000,17.778000,15.500000,17.639000,16.283951,48103000
2011-07-01,17.236000,18.400000,17.165001,17.379999,16.044849,38840000
2011-08-01,17.625000,17.709999,14.750000,16.680000,15.398623,55589400
2011-09-01,16.770000,16.910000,13.750000,14.575000,13.455333,38369000
2011-10-01,14.330000,16.340000,13.210000,15.830000,14.613924,50504600
2011-11-01,15.260000,16.135000,12.535000,13.830000,12.767565,37687000
2011-12-01,13.825000,14.600000,12.235000,13.140000,12.130572,50909200
2012-01-01,13.510000,16.035000,13.300000,15.515000,14.323121,42348200
2012-02-01,15.670000,17.945000,15.605000,17.174999,15.855597,43701400
2012-03-01,17.180000,17.575001,16.305000,17.049999,15.740203,30831600
2012-04-01,16.980000,17.605000,16.500000,17.165001,15.846367,25939200
2012-05-01,17.195000,17.200001,13.915000,13.980000,12.906041,37703800
2012-06-01,13.785000,16.299999,13.650000,16.299999,15.047816,33230600
2012-07-01,16.334999,17.500000,15.970000,16.955000,15.778625,22983400
2012-08-01,17.155001,18.365000,16.790001,16.790001,15.625077,31859600
2012-09-01,16.805000,18.900000,16.680000,18.790001,17.486309,21133800
2012-10-01,18.875000,19.660000,18.045000,18.695000,17.397902,21725200
2012-11-01,18.730000,21.510000,18.434999,21.059999,19.598810,31028800
2012-12-01,21.160000,21.254999,20.190001,20.360001,18.947376,28968200
2013-01-01,20.510000,21.055000,19.615000,20.110001,18.714724,34094400
2013-02-01,20.334999,20.615000,18.820000,19.025000,17.705004,28937800
2013-03-01,18.830000,20.200001,18.120001,18.709999,17.411860,28523000
2013-04-01,18.684999,21.309999,17.875000,21.219999,19.747713,34981600
2013-05-01,21.170000,21.905001,20.000000,20.120001,18.724033,23956600
2013-06-01,20.100000,20.299999,16.950001,18.120001,16.862799,30281000
2013-07-01,18.225000,19.059999,16.389999,16.450001,15.431894,34509600
2013-08-01,17.010000,17.125000,13.310000,14.490000,13.593200,46529400
