Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,129.899994,131.149994,104.750000,105.449997,84.662544,16945227
2011-02-01,106.650002,112.000000,96.599998,103.949997,83.458252,5717914
2011-03-01,104.000000,111.900002,98.500000,109.400002,87.833870,5517729
2011-04-01,109.650002,114.949997,107.150002,110.300003,88.556458,3230153
2011-05-01,110.599998,110.900002,96.750000,107.050003,85.947144,2802204
2011-06-01,107.500000,107.500000,98.000000,100.150002,82.002724,1332084
2011-07-01,100.300003,102.500000,94.199997,95.800003,78.440948,1652414
2011-08-01,96.000000,96.099998,69.500000,75.199997,61.573685,2156736
2011-09-01,75.199997,76.800003,63.000000,65.500000,53.631336,5993481
2011-10-01,65.400002,75.750000,64.000000,74.800003,61.246170,2445787
2011-11-01,74.949997,79.250000,67.099998,67.500000,55.268925,1945334
2011-12-01,69.000000,73.000000,58.299999,60.200001,49.291706,1520971
2012-01-01,60.500000,73.500000,58.500000,68.050003,55.719276,5664240
2012-02-01,68.300003,94.500000,66.599998,82.750000,67.755615,9322052
2012-03-01,82.000000,84.750000,72.099998,75.000000,61.409931,3208293
2012-04-01,75.099998,79.800003,71.550003,73.000000,59.772335,2152547
2012-05-01,73.000000,73.849998,61.000000,63.599998,52.075615,3065142
2012-06-01,63.200001,74.000000,62.000000,69.199997,56.660889,3029552
2012-07-01,69.500000,72.949997,59.750000,63.200001,53.230854,1836408
2012-08-01,63.799999,69.300003,59.049999,60.200001,50.704071,1117915
2012-09-01,61.000000,71.250000,59.299999,67.949997,57.231586,3905043
2012-10-01,67.949997,71.500000,64.250000,64.800003,54.578472,2498470
2012-11-01,64.800003,69.400002,63.299999,66.699997,56.178761,3212983
2012-12-01,66.800003,77.000000,64.349998,72.000000,60.642742,5999456
2013-01-01,72.500000,82.500000,68.750000,71.900002,60.558514,9719878
2013-02-01,71.500000,74.949997,61.400002,61.900002,52.135918,1532378
2013-03-01,62.400002,67.449997,57.049999,58.250000,49.061665,1631511
2013-04-01,58.549999,63.799999,57.500000,61.849998,52.093792,1314577
2013-05-01,61.849998,63.200001,57.000000,57.500000,48.429962,1409883
2013-06-01,57.500000,60.500000,51.849998,53.299999,44.892475,941001
2013-07-01,52.599998,54.549999,45.250000,47.750000,42.090160,1107263
2013-08-01,48.500000,48.799999,36.650002,37.799999,33.319538,1743556
2013-09-01,38.599998,44.700001,37.500000,39.750000,35.038403,2675983
2013-10-01,39.549999,44.750000,39.250000,44.400002,39.137238,1816286
2013-11-01,44.750000,54.500000,43.500000,44.750000,39.445747,2897877
2013-12-01,44.150002,47.500000,42.950001,43.900002,38.696503,1389964
2014-01-01,44.500000,47.500000,42.799999,44.250000,39.005013,1817811
2014-02-01,44.000000,44.950001,40.500000,41.099998,37.530975,758389
2014-03-01,40.500000,45.650002,40.400002,45.200001,41.274948,3025446
2014-04-01,45.500000,51.000000,43.900002,47.900002,43.740490,6725557
2014-05-01,47.900002,73.199997,46.150002,63.250000,57.757534,11187687
2014-06-01,64.349998,83.800003,63.250000,72.599998,66.295601,12778932
2014-07-01,72.300003,78.099998,63.700001,64.699997,59.544395,8074208
2014-08-01,64.099998,65.849998,53.400002,54.549999,50.203197,2911985
2014-09-01,56.299999,66.000000,46.150002,55.099998,50.709370,7197905
2014-10-01,56.250000,59.799999,53.150002,58.799999,54.114536,4196764
2014-11-01,59.000000,67.349998,57.549999,62.400002,57.427677,11911585
2014-12-01,62.950001,64.349998,55.000000,62.700001,57.703766,4506745
2015-01-01,62.700001,66.199997,59.750000,60.150002,55.356964,4550189
2015-02-01,60.000000,61.900002,53.099998,54.700001,50.341244,3152950
2015-03-01,55.099998,58.200001,44.049999,45.650002,42.012394,2721270
2015-04-01,45.849998,56.200001,45.200001,49.099998,45.187477,3641592
2015-05-01,49.099998,50.849998,45.049999,46.099998,42.426533,2312886
2015-06-01,46.000000,47.799999,40.400002,41.400002,38.101051,1537714
2015-07-01,41.950001,46.799999,39.599998,43.299999,40.423027,1369798
2015-08-01,43.349998,47.299999,35.049999,38.400002,35.848598,3769308
2015-09-01,38.099998,38.549999,34.500000,37.200001,34.728329,2107383
2015-10-01,38.299999,42.349998,36.799999,36.900002,34.448261,3104109
2015-11-01,36.500000,40.500000,36.099998,39.799999,37.155575,3345479
2015-12-01,39.849998,41.200001,36.650002,38.849998,36.268696,1617647
2016-01-01,39.099998,39.750000,33.750000,34.700001,32.394436,1197636
2016-02-01,35.000000,36.000000,31.650000,32.150002,30.013865,1862222
2016-03-01,31.700001,35.799999,31.700001,34.599998,32.301079,1810415
2016-04-01,35.000000,38.900002,34.049999,36.250000,33.841450,1770427
2016-05-01,36.049999,40.950001,34.599998,40.049999,37.388966,4274871
2016-06-01,40.549999,53.799999,39.500000,48.150002,44.950783,8381887
2016-07-01,48.200001,53.700001,47.349998,49.750000,47.950035,6237877
2016-08-01,49.150002,54.599998,46.900002,52.599998,50.696922,4354981
2016-09-01,52.849998,58.799999,49.549999,50.450001,48.624710,4160454
2016-10-01,50.900002,55.000000,50.349998,53.250000,51.323406,3584619
2016-11-01,53.799999,55.299999,46.200001,49.799999,47.998226,3479768
2016-12-01,49.900002,51.450001,45.799999,46.900002,45.203156,732888
2017-01-01,47.000000,50.400002,46.650002,49.000000,47.227173,1328457
2017-02-01,49.150002,58.500000,49.150002,52.250000,50.359589,6391891
2017-03-01,52.650002,56.900002,51.799999,55.000000,53.010090,4687139
2017-04-01,55.700001,64.800003,55.000000,64.250000,61.925426,5815002
2017-05-01,64.250000,72.300003,51.700001,52.549999,50.648731,9939334
2017-06-01,53.000000,59.400002,49.500000,50.299999,48.480137,2316564
2017-07-01,50.900002,57.549999,49.299999,54.349998,52.383606,3341918
2017-08-01,54.349998,54.950001,47.049999,48.250000,46.504307,1831029
2017-09-01,49.000000,49.799999,45.000000,45.099998,43.468273,2852126
2017-10-01,45.099998,56.900002,44.849998,50.450001,48.624710,7219014
2017-11-01,50.950001,55.000000,48.299999,48.900002,47.130791,4177201
2017-12-01,48.650002,49.700001,45.549999,49.000000,47.227173,1638707
2018-01-01,49.450001,51.049999,44.700001,44.900002,43.275513,2930142
2018-02-01,45.400002,46.000000,37.450001,38.950001,37.540783,2714525
2018-03-01,39.200001,39.200001,33.400002,35.200001,33.926460,2586609
2018-04-01,35.500000,40.299999,34.250000,35.549999,34.263798,2049774
2018-05-01,35.549999,38.150002,27.700001,32.900002,31.709677,1571089
2018-06-01,32.849998,35.200001,29.500000,30.200001,29.107361,1029722
2018-07-01,30.299999,31.799999,27.500000,31.100000,29.974798,2045304
2018-08-01,31.100000,33.700001,28.200001,32.700001,31.516911,3710645
2018-09-01,32.849998,33.000000,25.500000,25.900000,24.962934,2057608
2018-10-01,26.000000,30.299999,25.000000,29.200001,28.143541,2296208
2018-11-01,29.000000,31.049999,27.549999,28.200001,27.179720,1131925
2018-12-01,28.200001,35.349998,25.750000,32.900002,31.709677,5015558
2019-01-01,33.250000,34.900002,27.400000,28.150000,27.131529,2087957
2019-02-01,28.350000,28.350000,24.650000,25.700001,24.770172,1335676
2019-03-01,25.900000,34.000000,25.549999,31.250000,30.119371,3781097
2019-04-01,31.299999,33.700001,27.000000,27.650000,26.649620,1966310
2019-05-01,27.650000,31.500000,26.000000,27.850000,26.842382,1929107
2019-06-01,27.600000,28.950001,23.250000,27.250000,26.264091,1334414
2019-07-01,27.400000,27.799999,22.850000,23.049999,22.216047,1679678
2019-08-01,23.100000,27.650000,16.799999,21.299999,20.529362,1410160
2019-09-01,21.299999,21.600000,19.100000,19.250000,18.553534,1739565
2019-10-01,19.150000,20.850000,16.700001,20.600000,19.854689,1095093
2019-11-01,20.350000,22.850000,17.850000,20.150000,19.420971,3107324
2019-12-01,20.150000,23.000000,18.049999,21.000000,20.240217,1845595
2020-01-01,21.150000,24.100000,19.200001,19.900000,19.180014,1439310
2020-02-01,19.850000,19.850000,14.700000,15.250000,14.698253,1213591
